iter,normE,condJ,timestamp
0,5.254284303280588,126553057515909.86,105820.604095182
1,0.44210048744297753,nan,105822.088589677
3,0.407273494796518,nan,105825.255067253
4,0.39476102193975665,nan,105826.855018376
5,0.33192071099398546,nan,105828.339983621
6,0.3129799663714494,nan,105829.914015229
7,0.280379595320887,nan,105831.376930104
8,0.25847402610918224,nan,105832.973195938
9,0.22393618474749377,nan,105834.436153314
10,0.17696056900520965,15202646309016.932,105838.191917979
11,0.08954279717811528,nan,105839.658865235
12,0.04079481316585949,nan,105841.234366436
13,0.0028384382655980895,nan,105842.751412617
